Project,Set,File,# of Cells,Total Cell Area,Tissue Area,Normalized (Cell/Tissue)
Ki671,set,166041_002_063.tif,1,1007.5,105724,0.00952953
Ki671,set,166041_002_064.tif,0,0,24913,0
Ki671,set,166041_002_065.tif,0,0,3705.5,0
Ki671,set,166041_002_066.tif,2,5309.5,54405.5,0.0975912
Ki671,set,166041_002_067.tif,0,0,11313.5,0
Ki671,set,166041_002_068.tif,0,0,7648.5,0
Ki671,set,166041_002_069.tif,0,0,10922.5,0
Ki671,set,166041_002_070.tif,0,0,32928.5,0
Ki671,set,166041_002_071.tif,0,0,158,0
Ki671,set,166041_002_072.tif,0,0,2286.5,0
Ki671,set,166041_002_073.tif,0,0,5169,0
Ki671,set,166041_002_074.tif,0,0,1008.5,0
Ki671,set,166041_002_075.tif,1,1607,171109,0.00939167
Ki671,set,166041_002_076.tif,0,0,572,0
Ki671,set,166041_002_077.tif,0,0,37644,0
Ki671,set,166041_002_078.tif,0,0,28615,0
Ki671,set,166041_002_079.tif,0,0,9017,0
Ki671,set,166041_002_080.tif,0,0,3627.5,0
Ki671,set,166041_002_081.tif,0,0,3132,0
Ki671,set,166041_002_082.tif,4,8163.5,537022,0.0152014
Ki671,set,166041_002_083.tif,0,0,595,0
Ki671,set,166041_002_084.tif,0,0,3460.5,0
Ki671,set,166041_002_085.tif,0,0,171.5,0
Ki671,set,166041_002_086.tif,0,0,4345,0
Ki671,set,166041_002_087.tif,0,0,261,0
Ki671,set,166041_002_088.tif,0,0,6715.5,0
Ki671,set,166041_002_089.tif,0,0,369.5,0
Ki671,set,166041_002_090.tif,0,0,8873.5,0
Ki671,set,166041_002_091.tif,0,0,32385,0
Ki671,set,166041_002_092.tif,0,0,947.5,0
Ki671,set,166041_002_093.tif,5,11793,585634,0.0201371
Ki671,set,166041_002_094.tif,0,0,2468,0
Ki671,set,166041_002_095.tif,0,0,28836,0
Ki671,set,166041_002_096.tif,0,0,18001,0
Ki671,set,166041_002_097.tif,0,0,3627,0
Ki671,set,166041_002_098.tif,0,0,7038,0
Ki671,set,166041_002_099.tif,3,7904,231517,0.03414
Ki671,set,166041_002_100.tif,0,0,4356.5,0
